Model,Type,Grammar,Data,Hidden,Cosine,Loss
RAAM,recursive,PPA,1000,100,0.9819988433294422,0.00332811
RAAM,recursive,PPA,1000,200,0.9941296272555786,0.0032895617
RAAM,recursive,PPA,1000,300,0.9885690767377666,0.003275641
RAAM,recursive,PPA,1000,400,0.995020230082283,0.0032967746
RAAM,recursive,PPA,2000,100,0.9772953625203185,0.003930339
RAAM,recursive,PPA,2000,200,0.9934723030642871,0.0037863397
RAAM,recursive,PPA,2000,300,0.8878109445733393,0.004213833
RAAM,recursive,PPA,2000,400,0.821512750285154,0.0040416867
RAAM,recursive,PPA,500,100,0.971138625469917,0.0035233116
RAAM,recursive,PPA,500,200,0.9719007465642439,0.0035594448
RAAM,recursive,PPA,500,300,0.9478819768237524,0.0038338169
RAAM,recursive,PPA,500,400,0.9611353795202751,0.0036059355
RAAM,recursive,SC,1000,100,0.9575885143730469,0.0037929786
RAAM,recursive,SC,1000,200,0.98925325994853,0.003640895
RAAM,recursive,SC,1000,300,0.8012825948162857,0.0039832685
RAAM,recursive,SC,1000,400,0.9786854980112843,0.0036515007
RAAM,recursive,SC,2000,100,0.885354883226671,0.004149841
RAAM,recursive,SC,2000,200,0.9919219361826572,0.0040565776
RAAM,recursive,SC,2000,300,0.8286542336235657,0.0043169633
RAAM,recursive,SC,2000,400,0.7167237948304327,0.0043200003
RAAM,recursive,SC,500,100,0.8404012756871366,0.0036140138
RAAM,recursive,SC,500,200,0.989661305435206,0.0033983432
RAAM,recursive,SC,500,300,0.9772765384793758,0.00350618
RAAM,recursive,SC,500,400,0.9452264355491626,0.0034219155
DRAAM,recursive,PPA,1000,100,0.5593087983378652,0.030969612
DRAAM,recursive,PPA,1000,200,0.5644757141981814,0.018994994
DRAAM,recursive,PPA,1000,300,0.6399618317986286,0.028910493
DRAAM,recursive,PPA,1000,400,0.42049898506964656,0.03669731
DRAAM,recursive,PPA,2000,100,0.554761028454358,0.026570085
DRAAM,recursive,PPA,2000,200,0.7882927819044805,0.03059732
DRAAM,recursive,PPA,2000,300,0.5035834500201944,0.02079264
DRAAM,recursive,PPA,2000,400,0.5201190888722097,0.028412051
DRAAM,recursive,PPA,500,100,-0.12418479989522702,0.040403333
DRAAM,recursive,PPA,500,200,-0.0388292741090559,0.049163736
DRAAM,recursive,PPA,500,300,0.09207259576261695,0.037936613
DRAAM,recursive,PPA,500,400,0.10189142357059144,0.051326122
DRAAM,recursive,SC,1000,100,0.5816435187717768,0.006578663
DRAAM,recursive,SC,1000,200,0.6019278769427638,0.012929704
DRAAM,recursive,SC,1000,300,0.47862097447178054,0.0136150485
DRAAM,recursive,SC,1000,400,0.5081363585588752,0.014948254
DRAAM,recursive,SC,2000,100,0.8608499704143608,0.0061851703
DRAAM,recursive,SC,2000,200,0.8336235070721683,0.011536329
DRAAM,recursive,SC,2000,300,0.7113047514667044,0.011812146
DRAAM,recursive,SC,2000,400,0.7386125827890008,0.008039368
DRAAM,recursive,SC,500,100,0.8000089652342475,0.008327806
DRAAM,recursive,SC,500,200,0.528485821413884,0.010555805
DRAAM,recursive,SC,500,300,0.5347194462075096,0.013604316
DRAAM,recursive,SC,500,400,0.5864083049606776,0.012931833
DRAAM+,recursive,PPA,1000,100,-0.03893465387777639,142736660.0
DRAAM+,recursive,PPA,1000,200,-0.11859998025980012,256886820.0
DRAAM+,recursive,PPA,1000,300,-0.015419375069513075,157716530.0
DRAAM+,recursive,PPA,1000,400,0.005849818682059915,272157440.0
DRAAM+,recursive,PPA,2000,100,-0.007322139363451052,102537540.0
DRAAM+,recursive,PPA,2000,200,0.02228054470080032,47855652.0
DRAAM+,recursive,PPA,2000,300,0.07512304907635159,343359970.0
DRAAM+,recursive,PPA,2000,400,0.044607315042449414,91844840.0
DRAAM+,recursive,PPA,500,100,-0.07611480369352508,280256450.0
DRAAM+,recursive,PPA,500,200,-0.043797078179033555,35138468.0
DRAAM+,recursive,PPA,500,300,0.06778248111433371,94697060.0
DRAAM+,recursive,PPA,500,400,-0.05460051699844959,134581440.0
DRAAM+,recursive,SC,1000,100,-0.03760716761877214,99158140.0
DRAAM+,recursive,SC,1000,200,0.005964490733069039,76264280.0
DRAAM+,recursive,SC,1000,300,-0.021293472756530152,266310620.0
DRAAM+,recursive,SC,1000,400,0.011192712612750677,96117790.0
DRAAM+,recursive,SC,2000,100,-0.07383450780292522,63767256.0
DRAAM+,recursive,SC,2000,200,-0.05920189680031829,128524190.0
DRAAM+,recursive,SC,2000,300,-0.009106515233926693,193837060.0
DRAAM+,recursive,SC,2000,400,-0.05728951627638823,83816000.0
DRAAM+,recursive,SC,500,100,-0.014461949272011054,295749220.0
DRAAM+,recursive,SC,500,200,-0.010069520882961536,140766610.0
DRAAM+,recursive,SC,500,300,0.028906990139833777,124309950.0
DRAAM+,recursive,SC,500,400,0.04688154646517195,284339230.0
