Epoch,Loss,Model
0,0.6348949,DRAAM
25,0.62149954,DRAAM
50,0.59396577,DRAAM
75,0.5076324,DRAAM
100,0.2658326,DRAAM
125,0.1211925,DRAAM
150,0.073491946,DRAAM
175,0.050716307,DRAAM
200,0.036216855,DRAAM
225,0.026965003,DRAAM
250,0.020751595,DRAAM
275,0.016820082,DRAAM
300,0.014031663,DRAAM
325,0.011834106,DRAAM
350,0.010473177,DRAAM
375,0.0097485455,DRAAM
400,0.009191069,DRAAM
425,0.00840067,DRAAM
450,0.0077590086,DRAAM
475,0.0072705643,DRAAM
0,1.2991454e+16,DRAAM+
25,12194048000000.0,DRAAM+
50,6104647500000.0,DRAAM+
75,5570917000000.0,DRAAM+
100,4758765000000.0,DRAAM+
125,4436960000000.0,DRAAM+
150,4096106200000.0,DRAAM+
175,3827051800000.0,DRAAM+
200,3496680400000.0,DRAAM+
225,3340874500000.0,DRAAM+
250,3146946400000.0,DRAAM+
275,3100435300000.0,DRAAM+
300,2677737500000.0,DRAAM+
325,2601901600000.0,DRAAM+
350,2314567200000.0,DRAAM+
375,2079515900000.0,DRAAM+
400,2056613400000.0,DRAAM+
425,1960311400000.0,DRAAM+
450,1780815800000.0,DRAAM+
475,1721698500000.0,DRAAM+
0,0.0049690735,RAAM
25,0.0048896004,RAAM
50,0.004758915,RAAM
75,0.004576652,RAAM
100,0.0043806266,RAAM
125,0.004213058,RAAM
150,0.004094047,RAAM
175,0.0040099802,RAAM
200,0.0039288257,RAAM
225,0.0038355037,RAAM
250,0.0037293546,RAAM
275,0.0036231673,RAAM
300,0.0035277887,RAAM
325,0.003447431,RAAM
350,0.003382472,RAAM
375,0.0033309036,RAAM
400,0.0032892104,RAAM
425,0.003255288,RAAM
450,0.0032269151,RAAM
475,0.0032026437,RAAM
