Test, Type, Hidden, Data, Cosine, Loss
PPA, Random, 100, 500, 0.812, 0.002
PPA, Recursive, 100, 500, 0.812, 0.002
SC, Random, 100, 500, 0.749, 0.004
SC, Recursive, 100, 500, 0.883, 0.003
PPA, Random, 100, 1000, 0.780, 0.004
PPA, Recursive, 100, 1000, 0.710, 0.003
SC, Random, 100, 1000, 0.825, 0.003
SC, Recursive, 100, 1000, 0.890, 0.003
PPA, Random, 100, 2000, 0.838, 0.003
PPA, Recursive, 100, 2000, 0.891, 0.002
SC, Random, 100, 2000, 0.910, 0.003
SC, Recursive, 100, 2000, 0.887, 0.003
PPA, Random, 100, 4000, 0.775, 0.003
PPA, Recursive, 100, 4000, 0.768, 0.003
SC, Random, 100, 4000, 0.838, 0.003
SC, Recursive, 100, 4000, 0.814, 0.004
PPA, Random, 100, 8000, 0.797, 0.003
PPA, Recursive, 100, 8000, 0.707, 0.003
SC, Random, 100, 8000, 0.872, 0.004
SC, Recursive, 100, 8000, 0.808, 0.004
PPA, Random, 200, 500, 0.629, 0.002
PPA, Recursive, 200, 500, 0.733, 0.003
SC, Random, 200, 500, 0.828, 0.003
SC, Recursive, 200, 500, 0.883, 0.003
PPA, Random, 200, 1000, 0.704, 0.003
PPA, Recursive, 200, 1000, 0.745, 0.003
SC, Random, 200, 1000, 0.842, 0.003
SC, Recursive, 200, 1000, 0.746, 0.003
PPA, Random, 200, 2000, 0.835, 0.002
PPA, Recursive, 200, 2000, 0.846, 0.003
SC, Random, 200, 2000, 0.767, 0.003
SC, Recursive, 200, 2000, 0.799, 0.003
PPA, Random, 200, 4000, 0.779, 0.002
PPA, Recursive, 200, 4000, 0.815, 0.003
SC, Random, 200, 4000, 0.829, 0.004
SC, Recursive, 200, 4000, 0.841, 0.003
PPA, Random, 200, 8000, 0.823, 0.002
PPA, Recursive, 200, 8000, 0.650, 0.003
SC, Random, 200, 8000, 0.742, 0.003
SC, Recursive, 200, 8000, 0.885, 0.003
PPA, Random, 300, 500, 0.762, 0.002
PPA, Recursive, 300, 500, 0.756, 0.003
SC, Random, 300, 500, 0.838, 0.003
SC, Recursive, 300, 500, 0.899, 0.003
PPA, Random, 300, 2000, 0.651, 0.002
PPA, Recursive, 300, 2000, 0.858, 0.005
SC, Random, 300, 2000, 0.683, 0.004
SC, Recursive, 300, 2000, 0.814, 0.003
PPA, Random, 300, 2000, 0.702, 0.003
PPA, Recursive, 300, 2000, 0.850, 0.003
SC, Random, 300, 2000, 0.897, 0.003
SC, Recursive, 300, 2000, 0.765, 0.003
PPA, Random, 300, 4000, 0.830, 0.002
PPA, Recursive, 300, 4000, 0.764, 0.002
SC, Random, 300, 4000, 0.816, 0.004
SC, Recursive, 300, 4000, 0.835, 0.003
PPA, Random, 300, 8000, 0.824, 0.004
PPA, Recursive, 300, 8000, 0.809, 0.003
SC, Random, 300, 8000, 0.854, 0.004
SC, Recursive, 300, 8000, 0.890, 0.003
