Test,  Type,       Hidden,  Data,  Cosine,  Loss
PPA,   Random,     100,     500,   0.688,   0.009
PPA,   Recursive,  100,     500,   0.672,   0.009
SC,    Random,     100,     500,   0.663,   0.014
SC,    Recursive,  100,     500,   0.656,   0.150
PPA,   Random,     100,     1000,  0.678,   0.009
PPA,   Recursive,  100,     1000,  0.666,   0.009
SC,    Random,     100,     1000,  0.678,   0.014
SC,    Recursive,  100,     1000,  0.684,   0.014
PPA,   Random,     100,     2000,  0.709,   0.010
PPA,   Recursive,  100,     2000,  0.718,   0.013
SC,    Random,     100,     2000,  0.718,   0.013
SC,    Recursive,  100,     2000,  0.699,   0.013
PPA,   Random,     100,     4000,  0.694,   0.010
PPA,   Recursive,  100,     4000,  0.696,   0.010
SC,    Random,     100,     4000,  0.716,   0.015
SC,    Recursive,  100,     4000,  0.697,   0.014
PPA,   Random,     100,     8000,  0.694,   0.011
PPA,   Recursive,  100,     8000,  0.694,   0.011
SC,    Random,     100,     8000,  0.710,   0.015
SC,    Recursive,  100,     8000,  0.708,   0.015
PPA,   Random,     200,     500,   0.685,   0.009
PPA,   Recursive,  200,     500,   0.670,   0.009
SC,    Random,     200,     500,   0.664,   0.014
SC,    Recursive,  200,     500,   0.655,   0.014
PPA,   Random,     200,     1000,  0.681,   0.009
PPA,   Recursive,  200,     1000,  0.669,   0.009
SC,    Random,     200,     1000,  0.674,   0.013
SC,    Recursive,  200,     1000,  0.686,   0.014
PPA,   Random,     200,     2000,  0.709,   0.009
PPA,   Recursive,  200,     2000,  0.721,   0.009
SC,    Random,     200,     2000,  0.717,   0.013
SC,    Recursive,  200,     2000,  0.696,   0.013
PPA,   Random,     200,     4000,  0.694,   0.010
PPA,   Recursive,  200,     4000,  0.696,   0.010
SC,    Random,     200,     4000,  0.717,   0.014
SC,    Recursive,  200,     4000,  0.697,   0.014
PPA,   Random,     200,     8000,  0.694,   0.011
PPA,   Recursive,  200,     8000,  0.693,   0.011
SC,    Random,     200,     8000,  0.708,   0.015
SC,    Recursive,  200,     8000,  0.706,   0.015
PPA,   Random,     300,     500,   0.684,   0.009
PPA,   Recursive,  300,     500,   0.671,   0.009
SC,    Random,     300,     500,   0.662,   0.014
SC,    Recursive,  300,     500,   0.652,   0.014
PPA,   Random,     300,     2000,  0.679,   0.009
PPA,   Recursive,  300,     2000,  0.666,   0.009
SC,    Random,     300,     2000,  0.677,   0.013
SC,    Recursive,  300,     2000,  0.684,   0.014
PPA,   Random,     300,     2000,  0.706,   0.009
PPA,   Recursive,  300,     2000,  0.717,   0.009
SC,    Random,     300,     2000,  0.714,   0.013
SC,    Recursive,  300,     2000,  0.697,   0.013
PPA,   Random,     300,     4000,  0.700,   0.010
PPA,   Recursive,  300,     4000,  0.699,   0.010
SC,    Random,     300,     4000,  0.718,   0.014
SC,    Recursive,  300,     4000,  0.696,   0.014
PPA,   Random,     300,     8000,  0.693,   0.011
PPA,   Recursive,  300,     8000,  0.692,   0.011
SC,    Random,     300,     8000,  0.708,   0.015
SC,    Recursive,  300,     8000,  0.706,   0.015
