Vector size: 300, with padding: 150
Learning rate: 0.000100
Shape is: 
(1600, 32, 450)
Epoch: 0
Loss: 0.63476044
Epoch: 25
Loss: 0.6182496
Epoch: 50
Loss: 0.5757337
Epoch: 75
Loss: 0.42016914
Epoch: 100
Loss: 0.20018741
Epoch: 125
Loss: 0.10584976
Epoch: 150
Loss: 0.07014652
Epoch: 175
Loss: 0.051426984
Epoch: 200
Loss: 0.0393358
Epoch: 225
Loss: 0.031085512
Epoch: 250
Loss: 0.025633471
Epoch: 275
Loss: 0.02209618
Epoch: 300
Loss: 0.019288188
Epoch: 325
Loss: 0.017134001
Epoch: 350
Loss: 0.015135486
Epoch: 375
Loss: 0.013497373
Epoch: 400
Loss: 0.012369249
Epoch: 425
Loss: 0.011688339
Epoch: 450
Loss: 0.010942547
Epoch: 475
Loss: 0.010402865
cosine: 0.7313674660624853
Validation loss: 0.020675153
