Vector size: 300, with padding: 150
Learning rate: 0.000100
Shape is: 
(1600, 32, 450)
Epoch: 0
Loss: 0.6352467
Epoch: 25
Loss: 0.61953276
Epoch: 50
Loss: 0.58429456
Epoch: 75
Loss: 0.45979002
Epoch: 100
Loss: 0.20214427
Epoch: 125
Loss: 0.10399881
Epoch: 150
Loss: 0.070470266
Epoch: 175
Loss: 0.053711373
Epoch: 200
Loss: 0.042383566
Epoch: 225
Loss: 0.03493392
Epoch: 250
Loss: 0.029165706
Epoch: 275
Loss: 0.024479026
Epoch: 300
Loss: 0.020854732
Epoch: 325
Loss: 0.01783418
Epoch: 350
Loss: 0.015988754
Epoch: 375
Loss: 0.014263674
Epoch: 400
Loss: 0.012947389
Epoch: 425
Loss: 0.012120654
Epoch: 450
Loss: 0.01122931
Epoch: 475
Loss: 0.010419189
cosine: 0.48858959098713095
Validation loss: 0.009826372
