Vector size: 300, with padding: 150
Learning rate: 0.000100
Shape is: 
(400, 32, 450)
Epoch: 0
Loss: 4.0763346e+16
Epoch: 25
Loss: 47346826000000.0
Epoch: 50
Loss: 23536170000000.0
Epoch: 75
Loss: 22884408000000.0
Epoch: 100
Loss: 19973523000000.0
Epoch: 125
Loss: 17005078000000.0
Epoch: 150
Loss: 16628406000000.0
Epoch: 175
Loss: 16513985000000.0
Epoch: 200
Loss: 14033193000000.0
Epoch: 225
Loss: 13657709000000.0
Epoch: 250
Loss: 11297796000000.0
Epoch: 275
Loss: 10563558000000.0
Epoch: 300
Loss: 10408985000000.0
Epoch: 325
Loss: 10020876000000.0
Epoch: 350
Loss: 8412450500000.0
Epoch: 375
Loss: 8080724000000.0
Epoch: 400
Loss: 7185281600000.0
Epoch: 425
Loss: 7312480000000.0
Epoch: 450
Loss: 6993688000000.0
Epoch: 475
Loss: 6332228000000.0
cosine: -0.06148352424405146
Validation loss: 42024944.0
